name,state,latitude,longitude,type,best_time_to_visit
Hampi,Karnataka,15.3489,76.4610,Heritage Site,Oct-Feb
Ajanta Caves,Maharashtra,20.5562,75.6924,Heritage Site,Oct-Mar
Konark Temple,Odisha,19.8885,86.0847,Heritage Site,Nov-Feb
Khajuraho,Madhya Pradesh,24.8349,79.9292,Heritage Site,Oct-Mar
Mysuru Palace,Karnataka,12.3025,76.6578,Cultural Landmark,Oct-Mar
Golden Temple,Punjab,31.6211,74.8739,Religious Site,Oct-Mar
Sanchi Stupa,Madhya Pradesh,22.9635,77.7178,Heritage Site,Oct-Feb
Sun Temple,Odisha,21.6498,86.7383,Heritage Site,Nov-Feb
Ladakh Monasteries,Jammu & Kashmir,34.1676,77.5822,Cultural Experience,May-Sep
Hazaribagh,Jharkhand,24.0166,86.0500,Under-Visited,Oct-Mar
