state,art_form,description
Rajasthan,Folk Dance,Colorful dance performed to folk music.
Kerala,Kathakali,Classical dance-drama with elaborate makeup.
Tamil Nadu,Bharatanatyam,One of the oldest classical dance forms.
West Bengal,Rabindra Sangeet,Musical tradition founded by Rabindranath Tagore.
Odisha,Odissi,Classical dance with fluid movements.
Assam,Bihu Dance,Festive dance during Bihu festival.
Gujarat,Garba,Typical dance during Navratri.
Maharashtra,Lavani,Energetic folk dance with music.
Punjab,Bhangra,Famous Punjabi harvest dance.
Andhra Pradesh,Kuchipudi,Devotional dance-theatre.
